Kategorie;Wärmeleitfähigkeit relevant;Bemessungswert der Wärmeleitfähigkeit [W/(m*K)];Kommentar/Quelle
Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;o;;auf dieser Ebene nicht sinnvoll (Kategorie ist inhomogen)
Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Stahl;o;;auf dieser Ebene nicht sinnvoll (Kategorie ist inhomogen)
Komposite / Systembauteile / Decken;o;;"auf dieser Ebene nicht sinnvoll; nur relevant, wenn in KG 364 oder KG 324"
Komposite / Systembauteile / Innenwände;o;;"auf dieser Ebene nicht sinnvoll; Innenbauteil -> Schallschutz und Statik relevanter als Wärmeschutz"
Kunststoffe / Bodenbeläge / Gummi-/Kautschuk-Bodenbeläge;x;0,17;DIN EN ISO 10456:2010-05 Tabelle 3
Kunststoffe / Bodenbeläge / Linoleum-Bodenbeläge;x;0,17;DIN EN ISO 10456:2010-05 Tabelle 3
Kunststoffe / Bodenbeläge / PVC-Bodenbeläge;x;0,25;DIN EN ISO 10456:2010-05 Tabelle 3
Kunststoffe / Bodenbeläge / Textile Bodenbeläge;x;0,06;DIN EN ISO 10456:2010-05 Tabelle 3
Kunststoffe / Dachbahnen / Bitumen-Dachbahnen;x;0,17;DIN 4108
Kunststoffe / Dachbahnen / ECB-Dachbahnen (Ethylen-Copolymer-Bitumen);x;0,2;DIN 16729
Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;x;0,2;Herstellerangaben (HERTALAN, RESITRIX)
Kunststoffe / Dachbahnen / EVA-Dachbahnen (Etylen-Vinylacetat);x;0,2;Schätzwert
Kunststoffe / Dachbahnen / PIB-Dachbahnen (Polyisobutylen);x;0,2;DIN 16731
Kunststoffe / Dachbahnen / PVC-Dachbahnen;x;0,2;DIN 16730
Kunststoffe / Folien und Vliese / Baupappen;o;;"irrelevant da schichtdicke zu dünn; Wasserdichtigkeit und Diffusionswiderstand relevanter als Wärmeschutz"
Kunststoffe / Folien und Vliese / Dampfbremse / Dampfsperre;o;;"irrelevant da schichtdicke zu dünn; Wasserdichtigkeit und Diffusionswiderstand relevanter als Wärmeschutz"
Kunststoffe / Folien und Vliese / Folien zur Abdichtung;o;;"irrelevant da schichtdicke zu dünn; Wasserdichtigkeit und Diffusionswiderstand relevanter als Wärmeschutz"
Kunststoffe / Folien und Vliese / Technische Textilien;o;;"irrelevant da schichtdicke zu dünn; Wasserdichtigkeit und Diffusionswiderstand relevanter als Wärmeschutz"
Kunststoffe / Folien und Vliese / Unterspannbahn;o;;"irrelevant da schichtdicke zu dünn; Wasserdichtigkeit und Diffusionswiderstand relevanter als Wärmeschutz"
Kunststoffe / Kunststoffprofile elastisch / Harz-Komposit Fassadenplatten;x;0,2;DIN EN ISO 10456:2010-05 Tabelle 3
Kunststoffe / Kunststoffprofile elastisch / Transparente Platten;x;0,2;DIN 12524
Metalle / Aluminium / Aluminiumbleche;x;160;DIN EN ISO 10456:2010-05 Tabelle 3
Metalle / Aluminium / Aluminiumfolie;x;160;DIN EN ISO 10456:2010-05 Tabelle 3
Metalle / Aluminium / Aluminiumprofil;x;160;DIN EN ISO 10456:2010-05 Tabelle 3
Metalle / Blei / Bleibleche;x;35;DIN EN ISO 10456:2010-05 Tabelle 3
Metalle / Edelstahl / Edelstahlbleche;x;30;DIN EN ISO 10456:2010-05 Tabelle 3
Metalle / Oberflächenbehandlung und Beschichtung von Metallen / (Nass-) Lackieren von Metallen;o;;irrelevant da schichtdicke zu dünn
Metalle / Oberflächenbehandlung und Beschichtung von Metallen / Anodisieren von Aluminium;o;;irrelevant da schichtdicke zu dünn
Metalle / Oberflächenbehandlung und Beschichtung von Metallen / Pulverbeschichten;o;;irrelevant da schichtdicke zu dünn
Metalle / Stahl und Eisen / Betonstahlmatten;x;50;DIN EN ISO 10456:2010-05 Tabelle 3
Metalle / Stahl und Eisen / Stahlbleche;x;50;DIN EN ISO 10456:2010-05 Tabelle 3
Metalle / Stahl und Eisen / Stahlprofile;x;50;DIN EN ISO 10456:2010-05 Tabelle 3
Metalle / Zink / Zinkbleche;x;110;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Asphalt / Gussassphalt;x;0,9;DIN 4108
Mineralische Baustoffe / Mörtel und Beton / Beton;x;1,54;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Mörtel und Beton / Estrich trocken;x;1,021;DIN 4108
Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;x;1;DIN 4108
Mineralische Baustoffe / Mörtel und Beton / Mauermörtel;x;1,026;DIN 4108
Mineralische Baustoffe / Mörtel und Beton / Putz und Putzmörtel;x;0,661;DIN 4108
Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;x;2,5;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Steine und Elemente / Dachziegel;x;1,25;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Steine und Elemente / Deckenplatten;x;0,035;"DIN 4108; Mineralfaser-Platten"
Mineralische Baustoffe / Steine und Elemente / Faserzement;x;0,6;Schätzwert laut Equitone Informationen
Mineralische Baustoffe / Steine und Elemente / Fliesen und Platten;x;1,3;DIN EN ISO 10456:2010-05 Tabelle 3
Mineralische Baustoffe / Steine und Elemente / Gipsplatten;x;0,23;DIN EN ISO 10456:2010-05 Tabelle 3
