Kategorie;KG;Zusatzinfo;Bauweise;Anmerkungen;verwendbar für frühe Planungsphasen
End of Life / Generisch / Holz;EoL;;;;o
End of Life / Generisch / Kunststoffe;EoL;;;;o
End of Life / Generisch / Metalle;EoL;;;;o
Holz / Holzböden / Kork;324,353;Bodenbelag;Holz, Hybrid, MW, StB, Stahl;;x
Holz / Holzböden / Parkett;324,353;Bodenbelag;Holz, Hybrid, MW, StB, Stahl;;x
Holz / Holzwerkstoffe / 3- und 5-Schichtplatten;331B, 336, 341, 345, 351, 354, 364, 361;Platten;Holz, Hybrid, MW, StB, Stahl;;x
Holz / Holzwerkstoffe / Funierschichtholz;336, 345, 354, 364;Innenverkleidung;Holz, Hybrid, MW, StB, Stahl;Innenoberflächen;x
Holz / Holzwerkstoffe / Holzfaserplatten;;Platten;Holz, Hybrid, MW, StB, Stahl;nähere Eingrenzung in den Datensätzen;x
Holz / Holzwerkstoffe / Laminated Veneer Lumber (LVL);331B, 336, 341, 345, 351, 354, 364, 361;Platten;Holz, Hybrid, MW, StB, Stahl;(wie 3- und 5-Schichtplatten);x
Holz / Holzwerkstoffe / OSB-Platte;331B, 336, 341, 345, 351, 354, 364, 361;Platten;Holz, Hybrid, MW, StB, Stahl;wird außerdem als Aussteifung im Holzbau angewendet → 331B, 332, 351, 361;x
Holz / Holzwerkstoffe / Spanplatten;;Platten;Holz, Hybrid, MW, StB, Stahl;nähere Eingrenzung in den Datensätzen;x
Holz / Holzwerkstoffe / Sperrholz;331B, 336, 341, 345, 351, 354, 364, 361;Platten;Holz, Hybrid, MW, StB, Stahl;;x
Holz / Holzwerkstoffe / Wood-Plastic-Composites;;Außenverkleidung;Holz, Hybrid, MW, StB, Stahl;"einzelne Datensätze enthalten detailliertere Informationen („Fassade“ → 335B; „Terrasse“-> 363)";x
Holz / Vollholz / Balkenschichtholz (Duo-Triobalken);331B, 341, 351, 361;Träger;Holz, Hybrid, MW, StB, Stahl;;x
Holz / Vollholz / Bau-Schnittholz;;Unterkonstruktion;;nähere Eingrenzung in den Datensätzen;x
Holz / Vollholz / Brettschichtholz (BSH);331B, 341, 351, 361;Träger, Platten;Holz, Hybrid, MW, StB, Stahl;;x
