Kategorie;KG;LayerType;Bauweise;noch unsicher;verwendbar für frühe Planungsphasen;Anmerkungen / zusätzliche Eingrenzung
Dämmstoffe / Stroh / Strohballen;331B, 332, 341, 342, 351, 361;insulation soft;Holz; ;x;Stichwort: Ausfachung
Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;335B;(EIFS);Holz, Hybrid, MW, StB, Stahl;x;x;"nähere Eingrenzung in den Datensätzen; Datensätze, die Dämmung enthalten, sind nicht nutzbar, da zu unflexibel"
Dämmstoffe / Zellulosefaser / Zellulose-Einblas-Dämmstoff;331B, 332, 342, 351, 361;insulation soft;Holz, Hybrid, MW, StB, Stahl; ;x;
Dämmstoffe / Zellulosefaser / Zelluloseplatten;324, 335B, 336, 345, 353, 354, 363, 364;insulation hard;Holz, Hybrid, MW, StB, Stahl; ;x;
End of Life / Generisch / Bauschutt;EoL;;;;x;Zuordnung zu Datensätzen, die kein EoL enthalten.
End of Life / Generisch / Hausmüll;EoL;;;;x;
End of Life / Generisch / Holz;EoL;;;;x;
End of Life / Generisch / Kunststoffe;EoL;;;;x;
End of Life / Generisch / Metalle;EoL;;;;x;
Holz / Holzböden / Kork;324,353;flooring;Holz, Hybrid, MW, StB, Stahl; ;x;
Holz / Holzböden / Laminat;;;;x;?;neu in Oekobaudat 2021_I
Holz / Holzböden / Parkett;324,353;flooring;Holz, Hybrid, MW, StB, Stahl; ;x;
Holz / Holzwerkstoffe / 3- und 5-Schichtplatten;331B, 336, 341, 345, 351, 354, 364, 361;boards;Holz, Hybrid, MW, StB, Stahl; ;x;
Holz / Holzwerkstoffe / Funierschichtholz;336, 345, 354, 364;cladding;Holz, Hybrid, MW, StB, Stahl; ;x;Innenoberflächen
Holz / Holzwerkstoffe / Holzfaserplatten;;(boards);Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen
Holz / Holzwerkstoffe / Laminated Veneer Lumber (LVL);331B, 336, 341, 345, 351, 354, 364, 361;boards;Holz, Hybrid, MW, StB, Stahl; ;x;(wie 3- und 5-Schichtplatten)
Holz / Holzwerkstoffe / OSB-Platte;331B, 336, 341, 345, 351, 354, 364, 361;boards;Holz, Hybrid, MW, StB, Stahl; ;x;wird außerdem als Aussteifung im Holzbau angewendet ? 331B, 332, 351, 361
Holz / Holzwerkstoffe / Spanplatten;;(boards);Holz, Hybrid, MW, StB, Stahl;x;x;nähere Eingrenzung in den Datensätzen
Holz / Holzwerkstoffe / Sperrholz;331B, 336, 341, 345, 351, 354, 364, 361;boards;Holz, Hybrid, MW, StB, Stahl; ;x;
Holz / Holzwerkstoffe / Wood-Plastic-Composites;;(cladding);Holz, Hybrid, MW, StB, Stahl;x;x;"einzelne Datensätze enthalten detailliertere Informationen („Fassade“ ? 335B; „Terrasse“-> 363)"
Holz / Vollholz / Balkenschichtholz (Duo-Triobalken);331B, 341, 351, 361;structure-wood;Holz; ;x;
Holz / Vollholz / Bau-Schnittholz;;(structure-wood, substructure-wood);Holz;x;x;nähere Eingrenzung in den Datensätzen
Holz / Vollholz / Brettschichtholz (BSH);331B, 341, 351, 361;structure-wood, boards;Holz; ;x;"""boards"" kann in jeder Bauweise verwendet werden"
Holz / Vollholz / Brettschichtholzplatte;331B, 341, 351, 361;(boards);Holz, Hybrid, MW, StB, Stahl;x;x;
Holz / Vollholz / Konstruktionsvollholz;331B, 332, 341, 342, 351, 361;structure-wood, substructure-wood;Holz, Hybrid, MW, StB, Stahl; ;x;
Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / elektrisch;334, 344;;;;o;
Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;334, 344;;;;o;
