UUID;Name;Kategorie;Technological Applicability ;Applications
0689d6a3-cd7c-4710-9709-90fe747f60c0;HEBEL Bewehrter Porenbeton;Mineralische Baustoffe / Mörtel und Beton / Beton;;
40b5bfc6-83b6-43e3-8852-567822c56729;Holzfaserdämmplatten;Dämmstoffe / Holzfasern / Holzfaserdämmplatte;;
d601d54e-a2eb-42bb-b32b-c59d1b2332a9;Holzfaserdämmstoff;Dämmstoffe / Holzfasern / Holzfaserdämmplatte;;
9ea3221b-b608-4e0a-981d-34685157f18a;Imomatt e.l.f. & Imosilan e.l.f. (2-1);Beschichtungen / Innenbeschichtungen / Innenfarben;;
46e48f47-dcd8-49f3-9039-b76b31f1ed86;Indeko-plus;Beschichtungen / Innenbeschichtungen / Innenfarben;;
7fbd62e4-d512-43fe-99d4-6594ba2d4dce;ITS 96 System und TS 97;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / mechanisch;;
f7235d64-16e5-42d0-94c8-797a3cd6cd37;Kalksandstein;Mineralische Baustoffe / Steine und Elemente / Kalksandstein;;
a2b5b7c9-db13-4dbd-be23-b0ff9f0cbd98;Keramische Fliesen und Platten;Mineralische Baustoffe / Steine und Elemente / Fliesen und Platten;;
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;Knauf Safeboard GKF;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;;
da69c8d7-e90d-44be-893a-c5696dddba6f;Knauf Silentboard GKF;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;;
26564979-d3fb-4ece-a691-18a6237335ca;Mattlatex LF (2-2);Beschichtungen / Innenbeschichtungen / Innenfarben;;
f98eea66-671c-4014-bfbb-2db1ffba8331;Mauerziegel;Mineralische Baustoffe / Steine und Elemente / Ziegel;;
8a7bcf84-f0a1-46fe-a146-4af9a182edfe;Mauerziegel (Dämmstoff gefüllt);Mineralische Baustoffe / Steine und Elemente / Ziegel;;
4d9588b6-1732-449f-932b-d0e24180d0c8;MDF (Roh);Holz / Holzwerkstoffe / Spanplatten;;
ac3fb66d-bfd1-4e97-b63b-f8f4da17fbdf;MDF beschichtet;Holz / Holzwerkstoffe / Holzfaserplatten;;
6bb3b483-7640-42f0-ba34-f9b7efbf0dba;Mehrschichtparkett;Holz / Holzböden / Parkett;;
ee873d85-c31c-4217-a696-7c1a05a99d17;Mehrschichtparkett;Holz / Holzböden / Parkett;;
e74695a5-4f4b-419c-bdff-a758d20ada72;Meister Longlife Parkett;Holz / Holzböden / Parkett;;
2c5406bc-f977-4ece-af99-7db29f20ff61;Massivholzböden und Massivholzparkett;Holz / Holzböden / Parkett;;
36375bd3-f8d5-4291-9335-93d4f429ce70;MSH-Profile;Metalle / Stahl und Eisen / Stahlprofile;;
f9552e60-73b7-4486-9e4c-96744fb83423;NedZink Naturel;Metalle / Zink / Zinkbleche;;
0ea8dd25-57aa-4b87-87e3-4496368f765b;NedZink NOVA, NedZink NOIR;Metalle / Zink / Zinkbleche;;
2c127685-17be-41df-8cc4-1f3720813a7e;PCI Flexmörtel, PCI Flexmörtel S1, PCI Flexmörtel S2;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;;
c820c4a1-b7f6-4024-98d3-b737558988b8;PCI FT® Extra, PCI FT® Flex, PCI FT® Rapid;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;;
a5853e02-e83f-4fa1-81d3-b6b44f89ed8e;PCI Gisogrund 404;Beschichtungen / Grundierungen / Grundierungen Farben und Putze;;
d205c94f-0464-42b2-82b7-7506b2deab6f;PCI Gisogrund®;Beschichtungen / Grundierungen / Grundierungen Farben und Putze;;
67a713b2-b470-4ed2-950e-3bbd53a3571b;PCI Lastogum;Beschichtungen / Grundierungen / Grundierungen Farben und Putze;;
6f38efae-dc15-4667-96a4-1b87be6a80a5;PCI Nanofug, PCI Nanofug Premium;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;;
285ae869-97d4-4032-8269-767c9371e71f;PCI Seccoral 1K;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;;
0656d750-b06e-420c-b210-45ac7702d562;PCI Seccoral 2K Rapid;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;;
cb9d60fd-2092-4c64-8a57-bb3102ff6128;Pentaweiß e.l.f & Malerweiß EC (3-2);Beschichtungen / Innenbeschichtungen / Innenfarben;;
58cd0d81-3a5c-43be-b94c-2979f4e30f80;pladur®;Metalle / Stahl und Eisen / Stahlbleche;;
1c36df70-6b87-4e0d-9474-f5b6c85cf3aa;PremiumClean;Beschichtungen / Innenbeschichtungen / Innenfarben;;
880e05ea-55c6-4346-a3ea-5af0e5f299e2;PU-Dämmplatten aus Blockschaumstoff;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU Blockschaum;;
b1920b95-3cd5-4cd3-a4e4-4d0f0a0d5a1a;Raufa e.l.f, Praxit e.l.f., Nordstar e.l.f., Biosan e.l.f., Raufa, Praxit EC, Imodin F, Renoschwarz (3-1);Beschichtungen / Innenbeschichtungen / Innenfarben;;
e24a3ad6-9df3-4165-b8f0-393211a7838a;Rhepanol hfk;Kunststoffe / Dachbahnen / PIB-Dachbahnen (Polyisobutylen);;
aa728ab7-e807-4cbf-9769-973a674cbe13;Rhepanol hfk-sk;Kunststoffe / Dachbahnen / PIB-Dachbahnen (Polyisobutylen);;
c5583291-5780-4deb-b6ff-9379cb560607;Scheucher Parkett Mehrschichtparkett;Holz / Holzböden / Parkett;;
9a08692a-8a66-4210-b02b-6a229c195af4;Schichtstoff Flammex;Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;;
f381434d-68f3-41f5-990b-7c44b34383e7;Schichtstoff mit farbigem Kern;Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;;
00b700ef-2d55-4434-b91d-c97cc1f85d40;SCHÜCO ADS 75.SI;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;;
8db37c49-5e41-43b6-8c20-1bc646afda62;SCHÜCO ADS 80 FR 60;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;;
6adf0159-37a0-47d0-86d4-54d193b1a3e1;SCHÜCO AWS 75.SI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;;
2da02eca-ff3c-4807-93f4-0266cfb01cef;Selatex e.l.f. (1-2);Beschichtungen / Innenbeschichtungen / Innenfarben;;
dbe7aa14-4bf6-4b79-a7d1-cc2421fc678e;Sikaplan G;Kunststoffe / Dachbahnen / PVC-Dachbahnen;;
c4d67bc2-a276-4b5f-9fe2-01d429013a75;Sikaplan SGmA;Kunststoffe / Dachbahnen / PVC-Dachbahnen;;
f658f1b6-156a-4361-8dcb-cb1e67391551;Silka Kalksandstein;Mineralische Baustoffe / Steine und Elemente / Kalksandstein;;
7634a4f9-7057-4052-9a0a-6bece315dd8e;Spannbeton-Fertigteildecken;Mineralische Baustoffe / Mörtel und Beton / Beton;;
4623cdde-5fb5-41ee-bda5-4ea48e9ebb3a;Stabilenka®;Kunststoffe / Folien und Vliese / Technische Textilien;;
426b030a-5e6d-4ed6-b117-e8b01bc3e890;SWISS KRONO OSB;Holz / Holzwerkstoffe / OSB-Platte;;
3589cb3f-3fd8-444a-9cfe-a9b536f386c4;Sylitol Bio-Innenfarbe;Beschichtungen / Innenbeschichtungen / Innenfarben;;
dc58acae-f94a-4a36-9065-292ef76b76ba;Sylitol Natura;Beschichtungen / Innenbeschichtungen / Innenfarben;;
d4523d5d-6956-4717-99d4-9a7aa1ebde99;Tectofin RV;Kunststoffe / Dachbahnen / PVC-Dachbahnen;;
103e98f9-8357-4d74-9063-7ea2b3b825b2;TERRART Fassadenplatte;Mineralische Baustoffe / Steine und Elemente / Fliesen und Platten;;
889237e5-dd00-4e30-8494-a90eea9c4ab9;Thermofloc;Dämmstoffe / Zellulosefaser / Zellulose-Einblas-Dämmstoff;;
65632b81-8698-4438-a54a-2bc5f781e171;TPO/FPO Dach-und Dichtungsbahn;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;;
40839593-9ebe-423f-b022-04f5f1cf1d14;Universal-Vorstrich VG 2;Beschichtungen / Grundierungen / Grundierungen Farben und Putze;;
86986c2b-a3fc-454a-b02f-7f62fb54ca87;Vormauerziegel, Pflasterziegel und Riemchen;Mineralische Baustoffe / Steine und Elemente / Ziegel;;
279613ea-381d-414d-9d35-a7622c3d4bf9;WDVS mit EPS Dämmplatte geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;
8d6e3557-1c45-458e-a7cd-2964d6339c7e;WDVS mit EPS geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;
cc522095-42b9-49ef-ae6e-2d39cd851513;WDVS mit Mineralfaser Dämmplatte geklebt und gedübelt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;
3110be3a-bfc8-4c7b-96aa-b52cfe037f6d;WDVS mit Mineralfaser Lamellen- Dämmplatten geklebt;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;
fa3a0f7d-842b-4161-a83e-04c690248185;WDVS mit Schienenbefestigung;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;;
97c15191-118f-4b6b-a55a-e241ea1690a4;Wolfin M;Kunststoffe / Dachbahnen / PVC-Dachbahnen;;
dd603f7a-93de-4a24-a26f-76a366966d4a;WPC Fassadenelemente;Holz / Holzwerkstoffe / Wood-Plastic-Composites;;
0452f1bc-9766-4785-bf4e-44bc76dedf75;WPC Terrassendielen;Holz / Holzwerkstoffe / Wood-Plastic-Composites;;
0c72f7ee-6f3d-4f82-82c3-14378a8b85b4;Xella Italia Porenbeton;Mineralische Baustoffe / Mörtel und Beton / Beton;;
10f0560b-4b39-484c-8159-a5545acc7ca3;BauderTHERMOFIN;Kunststoffe / Dachbahnen / Elastomer-Dachbahnen;;
8dfa6b75-0dcb-4748-a2d9-2d572d87ba61;EPS-Hartschaum (grau) mit Wärmestrahlungsabsorber;Dämmstoffe / Expandiertes Polystyrol (EPS) / EPS grau;;
c5edec42-1921-46c6-a3aa-5cbd27685a74;EPS-Hartschaum (Styropor ®) für Wände und Dächer W/D-035;Dämmstoffe / Expandiertes Polystyrol (EPS) / EPS weiß;;
ee10b277-07b5-4c0a-8a48-e0412a9630ff;EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-035;Dämmstoffe / Expandiertes Polystyrol (EPS) / EPS weiß;;
64564161-a587-47de-b195-b6b13b3bfb07;EPS-Hartschaum (Styropor ®) für Wände und Dächer W/D-040;Dämmstoffe / Expandiertes Polystyrol (EPS) / EPS weiß;;
d63926ea-8473-4ea7-b965-a7bae6e5e022;EPS-Hartschaum (Styropor ®) für Decken/Böden und als Perimeterdämmung B/P-040;Dämmstoffe / Expandiertes Polystyrol (EPS) / EPS weiß;;
03998c02-90d1-41cd-9c68-83ffec88d125;PU-Dämmplatten mit Mineralvlies-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Mineralvlies;;
b29f31dc-bf1b-4214-98b4-fc2b52165a86;PU-Dämmplatten mit 50 µm Aluminium-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;;
ee4fb7c2-6119-4f00-8cb6-fc74cb66fe9a;PU-Dämmplatten mit Aluminium-Mehrlagen-Deckschicht;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU mit Aluminium;;
e920d325-c474-4ff4-b84a-531af01c7759;Admonter Massivholzmehrschichtprodukte;Holz / Vollholz / Brettschichtholzplatte;;
5aa61b79-a476-4edb-93c4-d4370a66f36c;Akzent e.l.f. & Ultra Design Premium No.1 (1-1);Beschichtungen / Innenbeschichtungen / Innenfarben;;
023f3b97-976a-41c4-b0f1-5357b9dc5b3e;Automatische Drehflügeltürantriebe ED 100 und ED 250;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / elektrisch;;
3d681712-89e7-4605-8b68-cb0c42a94376;Automatische Faltflügeltür FFT FLEX Green;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / elektrisch;;
693b9115-f1fc-4dfd-8d62-f36eb3cd0a0e;Automatische Schiebetüranlage ST FLEX;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / elektrisch;;
4e6f6d54-ac98-4f1c-a042-3de2710d2bb8;Automatische Schiebetüranlage ST FLEX Green;Komponenten von Fenstern und Vorhangfassaden / Antriebssysteme / elektrisch;;
1a24710c-72fe-43f6-8df3-a1adb2637f40;Multipor Mineraldämmplatte;Dämmstoffe / Calciumsilikat / Calcium-Silikathydrat / Calciumsilikat;;
32a6bd28-a244-4e5e-8ae1-11eced62c58e;JACKOBOARD®;Dämmstoffe / Extrudiertes Polystyrol (XPS) / XPS weiß;;
ff62c081-7f86-4429-a1d5-f0c029d5bc7b;TecTem® Insulation Board Indoor Climaprotect;Dämmstoffe / Blähperlit / Platten;;
29ff09ac-fece-4b12-ac1d-b768b33afd86;KXT50-CV35-V6-H200-REI120;Dämmstoffe / Dämmelemente / Isokörbe;;
8fd21462-66f2-4979-8fdc-44cf78234c20;TecTem® Insulation Board Indoor;Dämmstoffe / Blähperlit / Platten;;
5c7c71b6-662c-41d6-9d1d-040a3a5e990c;TecTem Insulation Board Outdoor;Dämmstoffe / Blähperlit / Platten;;
d8437b43-9f40-42bf-b690-0d5009193103;TecTem Insulation Board Indoor Historic;Dämmstoffe / Blähperlit / Platten;;
beda0ad4-6258-4842-bd0a-76684e9da77c;TecTem Insulation Board Indoor Laibungsplatte;Dämmstoffe / Blähperlit / Platten;;
29f780e3-091d-4f54-a3a0-5f7865a34453;QXT-H200-REI120;Dämmstoffe / Dämmelemente / Isokörbe;;
ffc50051-b4fd-4937-86f2-14ddf568f2ef;KXT Combar;Dämmstoffe / Dämmelemente / Isokörbe;;
16dab35c-ffa7-43fd-a763-077290e8bcaa;Doppelbodensystem Typ LIGNA;Komposite / Systembauteile / Decken;;
2ad0fca7-2c3d-4305-9be1-073a1b72b087;Isospan 1 Holzbetonmantelsteine mit Holzfaserdämmung OEKOPUR S 36,5/16,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
c0dea00e-60ed-497b-9b90-87b4d4e767e7;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 25/6 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
b2226ee0-acb4-4eaf-a4a3-ff2fd24fdb62;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 30/5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
657cd1e6-1691-4eea-a853-1df984bcee01;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 30/7 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
985a94db-d4ad-460c-bf5b-4d909a3d9075;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 30/9 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
8ef6efbf-9a86-4c08-80aa-c9eb327f0804;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/13,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
9b1f7394-fa8b-4364-baee-a8109d94660d;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/16,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
f8cd76cb-b180-46cd-916a-bffb2fb341a4;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
ca4bb781-7313-47a9-a566-4c60af01362e;Isospan 3 Holzbetonmantelsteine mit PU-Dämmung ISOPUR S 36,5/16,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
8425d306-3cbc-44df-844d-f29a691de378;Isospan 4 Holzbetonmantelsteine Normalstein I 25 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
8a78734f-63dc-4f49-8054-2de042f9b868;Isospan 4 Holzbetonmantelsteine Normalstein I 30 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
404751ce-9ef4-466d-83db-78a4bdacc559;Isospan 4 Holzbetonmantelsteine Normalstein N 15 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
98fc3019-6555-4742-9524-a55c3f47f6c9;Isospan 4 Holzbetonmantelsteine Normalstein N 18 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
f3dafca9-7688-48ce-91f5-b77f6037e217;Isospan 4 Holzbetonmantelsteine Normalstein N 20 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
983a5a12-fd92-4c9b-a6b6-6813230b1aca;Isospan 4 Holzbetonmantelsteine Normalstein N 22 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
56545408-c87b-42a2-ae4c-37140cfa2c29;Isospan 4 Holzbetonmantelsteine Normalstein N 25 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
0504b48b-81ca-47b4-bc7a-ecdaa6701cc9;Isospan 4 Holzbetonmantelsteine Normalstein TW 30 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
1e19e807-cb14-494b-8f11-7618e417f1c4;Gipsfaserplatten;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;;
011c9d4d-f9df-4ff0-87f0-58faf814a239;Isospan 2 Holzbetonmantelsteine mit EPS-Dämmung SILVER S 36,5/10,5 ohne Füllbeton;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
79512d1c-6c63-4d30-b368-16b24737ddb1;Tensar TriAX TX 130 S-G Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
30d039df-678c-4a2b-9b0d-0985348d9bc1;Tensar TriAX TX 130 S-GD Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
ff763631-3fad-4cfe-bcd8-3a6ae400520f;Tensar TriAX TX 130S Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
8fcd6530-5227-465f-9f5a-0dd17fb0a11e;Tensar TriAX TX 140 Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
1c8b079d-8a3e-4eef-ab8e-3f1c185dcffa;Tensar TriAX TX 150 Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
5427c2a5-0158-479a-826d-64d467556edb;Tensar TriAX TX 150-GD Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
eb987474-1dbc-4b50-a9c5-36b138bb051e;Tensar TriAX TX 160 Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
23e32f6f-42b1-4468-abae-e8be9fe9fd46;Tensar TriAX TX 160-G Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
a4a4bf14-7133-48ed-89d4-b3fc68e86c7c;Tensar TriAX TX 170 Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
1e7a529a-d2fa-4ef5-92de-0af69eeb7b86;Tensar TriAX TX 170-GD Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
2912f061-b8eb-4173-aeac-cf71ff9d9e62;Tensar TriAX TX 180 Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
055e59ef-f034-430d-9ee1-db993dfa3a7a;Tensar TriAX TX 190L Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
55141e01-120e-4766-a4ec-15f62d40017a;Tensar TriAX TX 190L-G Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
9acfcfb5-e1ad-4490-bad1-096a76cf23b6;Tensar TriAX TX 190L-GD Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
54611e43-ebcd-41a4-a16c-356e8780e3c9;Tensar TriAX TX 190L-GN Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
63bb567f-e2c7-46c7-947f-edf620f1064f;Tensar TriAX TX 5 Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
ffd9a444-d0cb-47a2-bc25-32c19c85979b;Tensar TriAX TX 7 Geogitter;Kunststoffe / Folien und Vliese / Technische Textilien;;
2d22c5e2-ffd0-4f70-903d-a5d553f439dd;Baufritz HOIZ Hobelspandämmung;Dämmstoffe / Holzfasern / Holzfasern und Holzspäne, lose;;
d9fd76f0-190d-437d-bb07-549963b32d65;Beton der Druckfestigkeitsklasse C 20/25;Mineralische Baustoffe / Mörtel und Beton / Beton;;
2b2d1f3f-ab92-449d-8a2e-cd7e85818406;Beton der Druckfestigkeitsklasse C 50/60;Mineralische Baustoffe / Mörtel und Beton / Beton;;
b6096c9c-1248-4ce1-9c2d-f4a48aade80f;Beton der Druckfestigkeitsklasse C 30/37;Mineralische Baustoffe / Mörtel und Beton / Beton;;
ec17f51c-27ff-4729-977e-cd0e273c2ee3;ROCKWOOL Steinwolle-Dämmstoff im niedrigen Rohdichtebereich;Dämmstoffe / Mineralwolle / Steinwolle;;
a3662e98-9dc9-412f-9603-47f653f3db7f;Beton der Druckfestigkeitsklasse C 45/55;Mineralische Baustoffe / Mörtel und Beton / Beton;;
cbc63bd5-2bfe-4381-b644-78df1bce86f3;Beton der Druckfestigkeitsklasse C 35/45;Mineralische Baustoffe / Mörtel und Beton / Beton;;
71667cf3-ede8-42d2-b0ff-6f1071ad3b86;Beton der Druckfestigkeitsklasse C 25/30;Mineralische Baustoffe / Mörtel und Beton / Beton;;
a4fb9ec0-d5ae-414b-a0a1-2cf7f586022d;Betonfertigteil Decke 40cm;Mineralische Baustoffe / Steine und Elemente / Betonfertigteile und Betonwaren;;
