UUID;Version;Name;Kategorie;Typ;Bezugsgroesse;Bezugseinheit;Referenzfluss-UUID;Referenzfluss-Name;Schuettdichte (kg/m3);Flaechengewicht (kg/m2);Rohdichte (kg/m3);Schichtdicke (m);Ergiebigkeit (m2);Laengengewicht (kg/m);Umrechungsfaktor auf 1kg;Modul; A1-A3 existing; C3 existing; C4 existing; D existing
ee052374-fec0-4707-bfe0-863520d80b48;00.03.000;Getuftete Teppichfliesen LC3, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;average dataset;1;null;22caccc1-11f2-0a47-ec3d-8f31366f711d;1 m² Bodenbelag;;;;;;;;A1-A3;true;false;false;false
5693c3a3-78ad-43be-bf5c-1d5486f24af3;00.03.000;Getuftete Teppichfliesen LC4, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;average dataset;1;null;c19011ab-e8f7-fe44-66cd-d278eec38212;1 m² Bodenbelag;;;;;;;;A1-A3;true;false;false;false
ea1e97c0-5232-43cf-b56a-adde6e3e5916;00.03.000;Getuftete Teppichfliesen LC5, Polmaterial PA 6, Schwerbeschichtung auf Bitumenbasis;Kunststoffe / Bodenbeläge / Textile Bodenbeläge;average dataset;1;null;a0819467-a7ec-069c-037d-3a8d79de9f5b;1 m² Bodenbelag;;;;;;;;A1-A3;true;false;false;false
eec9c184-852b-47e5-b380-7ae5af203b65;00.04.000;Dachziegel;Mineralische Baustoffe / Steine und Elemente / Dachziegel;average dataset;1000;null;34ea0754-771c-342b-f5e8-72304e54b442;1t Dachziegel inklusive Zubehör;;45;2180;;;;0,001;A1-A3;true;false;false;false
18e5028c-9327-4429-92da-eb90ee5d05cc;00.03.000;Glasarmierungsgitter;Dämmstoffe / Wärmedämmverbundsystem / Wärmedämmverbundsystem;average dataset;1;null;5b96d609-590c-3076-2707-2abf81c88e59;1 m² Glasarmierungsgitter (Flächengewicht 160 g/m²);;0,16;;;;;6,25;A1-A3;true;false;false;false
0689d6a3-cd7c-4710-9709-90fe747f60c0;00.02.000;HEBEL Bewehrter Porenbeton;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;null;a518c667-dfc7-4d6f-74f1-fcc63f740af3;1 m³ HEBEL bewehrter Porenbeton (550 kg/m³);;;550;;;;0,00182;A1-A3;true;false;false;false
40b5bfc6-83b6-43e3-8852-567822c56729;00.06.000;Holzfaserdämmplatten;Dämmstoffe / Holzfasern / Holzfaserdämmplatte;average dataset;1;null;7915c443-70a5-3172-8eae-d038d318309d;1 m³ Holzfaserdämmplatte;;;173;;;;0,0058;A1-A3;true;true;false;true
d601d54e-a2eb-42bb-b32b-c59d1b2332a9;00.04.000;Holzfaserdämmstoff;Dämmstoffe / Holzfasern / Holzfaserdämmplatte;average dataset;1;null;c452761e-9dfe-257a-9b97-1d707e76c11f;1 m³ Holzfaserdämmstoff;;;157,49;;;;0,00635;A1;true;true;false;false
9ea3221b-b608-4e0a-981d-34685157f18a;00.03.000;Imomatt e.l.f. & Imosilan e.l.f. (2-1);Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;null;e8b1c0ac-a393-7caa-cfb3-c0ec52aefd62;Produkte: Imomatt e.l.f. und Imosilan e.l.f.;;;1450;;;;;A1-A3;true;false;false;false
46e48f47-dcd8-49f3-9039-b76b31f1ed86;00.05.000;Indeko-plus;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;null;b90a9bb6-9e95-3278-409b-b6b7dc0af5d5;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: Indeko-plus;;;1400;;;;;A1-A3;true;false;false;false
f7235d64-16e5-42d0-94c8-797a3cd6cd37;00.05.000;Kalksandstein;Mineralische Baustoffe / Steine und Elemente / Kalksandstein;average dataset;1;null;9f378a7c-9fc1-0add-dc50-0ed3498c6500;1 t Kalksandstein;;;1800;;;;;A1-A3;true;false;false;false
a2b5b7c9-db13-4dbd-be23-b0ff9f0cbd98;00.05.000;Keramische Fliesen und Platten;Mineralische Baustoffe / Steine und Elemente / Fliesen und Platten;average dataset;1;null;b30135e5-dce6-ab56-9864-3ac4600b61d9;1 m² durchschnittliche Fliese (18,65 kg/m²);;18,65;;;;;0,0536;A1-A3;true;false;false;false
26bb2bb7-7bf6-434c-a3c7-1a4a87be9929;00.02.000;Knauf Safeboard GKF;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;specific dataset;1;null;b00472d3-98a9-43cb-73da-063e5c9fd8df;1 m² Gipsplatte Knauf Safeboard GKF;;;1400;;;;0,056;A1-A3;true;true;false;false
da69c8d7-e90d-44be-893a-c5696dddba6f;00.02.000;Knauf Silentboard GKF;Mineralische Baustoffe / Steine und Elemente / Gipsplatten;specific dataset;1;null;0f4ce4c4-fc5a-604f-67d1-6412c97db2ae;1 m² Knauf Silentboard GKF;;;1400;;;;0,057;A1-A3;true;true;false;false
26564979-d3fb-4ece-a691-18a6237335ca;00.04.000;Mattlatex LF (2-2);Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;null;fc604d64-3294-354a-1b07-a82040500ee3;Produkt: Mattlatex;;;1450;;;;;A1-A3;true;false;false;false
f98eea66-671c-4014-bfbb-2db1ffba8331;00.03.000;Mauerziegel;Mineralische Baustoffe / Steine und Elemente / Ziegel;average dataset;1;null;e08d6bc8-4d01-12a5-da9e-0a8eb0222be9;1 m³ Mauerziegel;;;575;;;;;A1-A3;true;false;false;false
8a7bcf84-f0a1-46fe-a146-4af9a182edfe;00.03.000;Mauerziegel (Dämmstoff gefüllt);Mineralische Baustoffe / Steine und Elemente / Ziegel;average dataset;1;null;abf4d455-efce-2ab4-4c98-684a9a26f527;1 m³ Mauerziegel (Dämmstoff gefüllt);;;575;;;;;A1-A3;true;false;false;false
4d9588b6-1732-449f-932b-d0e24180d0c8;00.04.000;MDF (Roh);Holz / Holzwerkstoffe / Spanplatten;average dataset;1;null;fb0df45a-6574-a7a9-18f5-73e88dda4ed4;1 m³ MDF Platte unbeschichtet;;;700;;;;0,0014;A1-A3;true;true;false;true
ac3fb66d-bfd1-4e97-b63b-f8f4da17fbdf;00.04.000;MDF beschichtet;Holz / Holzwerkstoffe / Holzfaserplatten;specific dataset;1;null;51d52f90-4733-f4fd-5527-4edbf1b87b75;1 m² MDF Platte beschichtet;;;700;;;;0,0787;A1-A3;true;true;false;true
6bb3b483-7640-42f0-ba34-f9b7efbf0dba;00.04.000;Mehrschichtparkett;Holz / Holzböden / Parkett;average dataset;1;null;8ee494a5-3551-3e4d-60b2-37a626235d65;1 m² Schichtparkett;;;;;;;0,113;A1;true;true;false;false
ee873d85-c31c-4217-a696-7c1a05a99d17;00.04.000;Mehrschichtparkett;Holz / Holzböden / Parkett;average dataset;1;null;b2adfda8-24f8-9358-d2ed-02b1271676a1;1 m² Mehrschichtparkett (7,31 kg);;;565;;;;0,14;A1-A3;true;true;false;true
e74695a5-4f4b-419c-bdff-a758d20ada72;00.04.000;Meister Longlife Parkett;Holz / Holzböden / Parkett;specific dataset;1;null;b7e2ba22-5278-89be-f5b8-bfad26a6ab2b;1m² Longlife-Parkett;;11;500;;;;0,09;A1-A3;true;false;false;false
2c5406bc-f977-4ece-af99-7db29f20ff61;00.03.000;Massivholzböden und Massivholzparkett;Holz / Holzböden / Parkett;average dataset;1;null;509c09bd-d363-e8ae-4a27-b138a00127c6;1m² Massivholzboden;;11,71;;;;;0,085;A1;true;true;false;false
36375bd3-f8d5-4291-9335-93d4f429ce70;00.04.000;MSH-Profile;Metalle / Stahl und Eisen / Stahlprofile;average dataset;1000;null;0f42ea0d-3a1c-1a2f-e44a-5916fe05996f;1 lfm Stahlschutzplanke;;;7850;;;;0,001;A1-A3;true;true;false;true
f9552e60-73b7-4486-9e4c-96744fb83423;00.05.000;NedZink Naturel;Metalle / Zink / Zinkbleche;specific dataset;1;null;c271975a-9234-04df-301b-d3dbcd2bf456;1 kg NEDZINK NATUREL;;;7200;;;;1;A1-A3;true;false;false;true
0ea8dd25-57aa-4b87-87e3-4496368f765b;00.04.000;NedZink NOVA, NedZink NOIR;Metalle / Zink / Zinkbleche;specific dataset;1;null;e56d19d2-baa4-1511-a453-ab6947377fea;1 kg NEDZINK NOVA/NOIR;;;7200;;;;1;A1-A3;true;false;false;true
2c127685-17be-41df-8cc4-1f3720813a7e;00.04.000;PCI Flexmörtel, PCI Flexmörtel S1, PCI Flexmörtel S2;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;average dataset;1;null;cd52d5c7-caef-9a92-ae10-bd8650fa9eac;PCI Flexmörtel, PCI Flexmörtel S1, PCI Flexmörtel S2 / 1kg;;;1200;;;;;A1-A3;true;false;false;false
c820c4a1-b7f6-4024-98d3-b737558988b8;00.03.000;PCI FT® Extra, PCI FT® Flex, PCI FT® Rapid;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;average dataset;1;null;3805cb73-3ef7-9d5a-5107-e3c524fabce0;1 kg PCI FT® Extra, PCI FT® Flex oder PCI FT® Rapid;;;1,2;;;;;A1-A3;true;false;false;false
6f38efae-dc15-4667-96a4-1b87be6a80a5;00.04.000;PCI Nanofug, PCI Nanofug Premium;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;average dataset;1;null;3570896b-6279-c830-e733-321132d18b8b;PCI Nanofug, PCI Nanofug Premium / 1kg;;;1200;;;;;A1-A3;true;false;false;false
285ae869-97d4-4032-8269-767c9371e71f;00.03.000;PCI Seccoral 1K;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;representative dataset;1;null;a7492462-5a6e-6b84-5533-e455f94110de;1 kg Seccoral 1K;;;1500;;;;;A1-A3;true;false;false;false
0656d750-b06e-420c-b210-45ac7702d562;00.03.000;PCI Seccoral 2K Rapid;Mineralische Baustoffe / Mörtel und Beton / Kleber und Klebemörtel;average dataset;1;null;80b5cc53-63e4-bccf-ce50-c9350174092d;1 kg Seccoral 2K Rapid;;;1200;;;;;A1-A3;true;false;false;false
cb9d60fd-2092-4c64-8a57-bb3102ff6128;00.04.000;Pentaweiß e.l.f & Malerweiß EC (3-2);Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;null;a33863a2-1556-73e4-0dfc-4c7a94fcf155;Produkte: Pentaweiss e.l.f. und Malerweiß EC;;;1550;;;;;A1-A3;true;false;false;false
58cd0d81-3a5c-43be-b94c-2979f4e30f80;00.03.000;pladur®;Metalle / Stahl und Eisen / Stahlbleche;specific dataset;1;null;525e5c22-8409-ce00-05c6-59ca4e8e22ce;1 m² pladur®;;6,084;;;;;0,164;A1-A3;true;false;true;false
1c36df70-6b87-4e0d-9474-f5b6c85cf3aa;00.05.000;PremiumClean;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;null;177e436e-e74b-4c10-fcaf-f625df50cef4;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: PremiumClean;;;1350;;;;;A1-A3;true;false;false;false
880e05ea-55c6-4346-a3ea-5af0e5f299e2;00.03.000;PU-Dämmplatten aus Blockschaumstoff;Dämmstoffe / Polyurethan-Hartschaum (PU) / PU Blockschaum;average dataset;1;null;0fc095b3-f202-f3b3-909e-098892635a55;1 m² installierte PU-Dämmplatte aus Blockschaumstoff;;;33;;;;;A1-A3;true;false;false;false
b1920b95-3cd5-4cd3-a4e4-4d0f0a0d5a1a;00.04.000;Raufa e.l.f, Praxit e.l.f., Nordstar e.l.f., Biosan e.l.f., Raufa, Praxit EC, Imodin F, Renoschwarz (3-1);Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;null;4e962efd-4eb2-1fb2-67c0-8cbcf18ece0f;Produkte: Raufa e.l.f., Raufa, Praxit e.l.f., Praxit EC, Nordstar e.l.f., Imodin F, Biosan e.l.f. und Renoschwarz;;;1350;;;;;A1-A3;true;false;false;false
e24a3ad6-9df3-4165-b8f0-393211a7838a;00.04.000;Rhepanol hfk;Kunststoffe / Dachbahnen / PIB-Dachbahnen (Polyisobutylen);specific dataset;1;null;accc9c59-cbdb-76df-8ddb-7b757cdaecf1;1 m² Dachbahn;;1,934;;;;;0,517;A1-A3;true;false;false;false
aa728ab7-e807-4cbf-9769-973a674cbe13;00.04.000;Rhepanol hfk-sk;Kunststoffe / Dachbahnen / PIB-Dachbahnen (Polyisobutylen);specific dataset;1;null;29a31f18-1e6d-02e6-820f-d2743ceefce9;1 m² Dachbahn;;2,139;;;;;0,468;A1-A3;true;false;false;false
c5583291-5780-4deb-b6ff-9379cb560607;00.03.000;Scheucher Parkett Mehrschichtparkett;Holz / Holzböden / Parkett;average dataset;1;null;74d89ed7-2565-cc3a-6329-71628c21fa75;1 m² Mehrschichtparkett;;7;;;;;0,14;A1-A3;true;true;false;true
9a08692a-8a66-4210-b02b-6a229c195af4;00.04.000;Schichtstoff Flammex;Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;specific dataset;1;null;ec16964d-f340-4384-415d-d022059657a5;1 m² Schichtstoff Flammex (1.080 kg/m²);;1,08;1350;;;;0,926;A1-A3;true;false;true;true
f381434d-68f3-41f5-990b-7c44b34383e7;00.04.000;Schichtstoff mit farbigem Kern;Beschichtungen / Innenbeschichtungen / Wand- und Deckenbeläge;specific dataset;1;null;98b356c2-387b-0776-5ca6-4a14d68d3d75;1 m² Schichtstoff mit farbigem Kern (1.080 kg/m²);;1,08;1350;;;;0,926;A1-A3;true;false;true;true
00b700ef-2d55-4434-b91d-c97cc1f85d40;00.02.000;SCHÜCO ADS 75.SI;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;average dataset;1;null;79536b45-e47b-efed-8221-926f42a4d561;Schüco ADS 75.SI B x H: 1100 mm x 2200 mm;;;;;;;;A1-A3;true;false;true;false
8db37c49-5e41-43b6-8c20-1bc646afda62;00.02.000;SCHÜCO ADS 80 FR 60;Komponenten von Fenstern und Vorhangfassaden / Türen und Tore / Aluminium;average dataset;1;null;7b7c11b4-05a8-90ff-ff69-a540380a2411;Schüco ADS 80 FR 60 B x H: 1100 mm x 2200 mm;;;;;;;;A1-A3;true;false;true;false
6adf0159-37a0-47d0-86d4-54d193b1a3e1;00.02.000;SCHÜCO AWS 75.SI;Komponenten von Fenstern und Vorhangfassaden / Rahmen / Profile / Aluminium;average dataset;1;null;eda250db-e8fc-efa2-e9f6-ec61731a254e;Schüco AWS 75.SI B x H: 1230 mm x 1480 mm;;;;;;;;A1-A3;true;false;true;false
2da02eca-ff3c-4807-93f4-0266cfb01cef;00.03.000;Selatex e.l.f. (1-2);Beschichtungen / Innenbeschichtungen / Innenfarben;specific dataset;1;null;a19e1be8-8613-bc94-3deb-323b26fc3e4a;Produkt: Selatex e.l.f.;;;1350;;;;;A1-A3;true;false;false;false
dbe7aa14-4bf6-4b79-a7d1-cc2421fc678e;00.04.000;Sikaplan G;Kunststoffe / Dachbahnen / PVC-Dachbahnen;specific dataset;1;null;c02c6df8-64a7-b5c5-57d4-cf21eea98e11;1 m² Dachbahn;;1,8;1200;;;;0,555555556;A1-A3;true;false;false;false
c4d67bc2-a276-4b5f-9fe2-01d429013a75;00.04.000;Sikaplan SGmA;Kunststoffe / Dachbahnen / PVC-Dachbahnen;specific dataset;1;null;423a75d0-8b5c-a8a1-2ff7-d67bcfaabe95;1 m² Dachbahn;;1,9;1266,66;;;;0,5263157;A1-A3;true;false;false;false
f658f1b6-156a-4361-8dcb-cb1e67391551;00.03.000;Silka Kalksandstein;Mineralische Baustoffe / Steine und Elemente / Kalksandstein;average dataset;1;null;c5de73fe-7a9b-6dfe-4b3b-8483c3bfef83;1 m³ Kalksandstein;;;1800;;;;;A1-A3;true;false;false;false
7634a4f9-7057-4052-9a0a-6bece315dd8e;00.07.000;Spannbeton-Fertigteildecken;Mineralische Baustoffe / Mörtel und Beton / Beton;average dataset;1;null;8ce49180-d9ba-5392-faf7-c40109817bb0;1m² Spannbeton- Fertigteildecke, (26,5 cm Deckendicke,C45/C55);;360,37;1357;;;;0,002775;A1;true;false;true;true
4623cdde-5fb5-41ee-bda5-4ea48e9ebb3a;00.03.000;Stabilenka®;Kunststoffe / Folien und Vliese / Technische Textilien;representative dataset;1;null;e4a5a485-f47d-9f12-8958-dd347776b384;1 m2 geosynthetisches Gewebe;;;;;;;1,23;A1-A3;true;false;false;false
426b030a-5e6d-4ed6-b117-e8b01bc3e890;00.06.000;SWISS KRONO OSB;Holz / Holzwerkstoffe / OSB-Platte;specific dataset;1;null;6ad86346-7cdb-2def-f850-0e1e440fb350;1 m³ OSB Platte (617 kg);;;617;;;;0,0016;A1-A3;true;true;false;true
3589cb3f-3fd8-444a-9cfe-a9b536f386c4;00.05.000;Sylitol Bio-Innenfarbe;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;null;d198ac62-2ca5-1986-d1a5-09436738ecb3;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: Sylitol Bio-Innenfarbe;;;1500;;;;;A1-A3;true;false;false;false
dc58acae-f94a-4a36-9065-292ef76b76ba;00.05.000;Sylitol Natura;Beschichtungen / Innenbeschichtungen / Innenfarben;average dataset;1;null;afa3d2ba-184d-a7cd-97d9-c6543afb6880;1 kg Innenwandfarbe auf Dispersionsbasis Produkt: Sylitol Natura;;;1500;;;;;A1-A3;true;false;false;false
d4523d5d-6956-4717-99d4-9a7aa1ebde99;00.03.000;Tectofin RV;Kunststoffe / Dachbahnen / PVC-Dachbahnen;specific dataset;1;null;c0ce3ee1-5776-da8b-6814-b974cf4051e8;1 m² Tectofin RV;;2;;;;;0,5;A1-A3;true;false;true;false
